Sure, here's a hypothetical allocation of weights:

1. 'LMT' - 0.08
2. 'CAT' - 0.07
3. 'HON' - 0.07
4. 'MMM' - 0.06
5. 'UPS' - 0.07
6. 'UNP' - 0.06
7. 'BA' - 0.06
8. 'DE' - 0.07
9. 'GE' - 0.06
10. 'RTX' - 0.07
11. 'NOC' - 0.06
12. 'FDX' - 0.07
13. 'ITW' - 0.06
14. 'EMR' - 0.05
15. 'CMI' - 0.06

This gives a total of 1.00 when added together.

The underlying strategy for this allocation could be a combination of factors such as market capitalization, historical performance, expected future performance, and industry diversification. 

For instance, you may have given higher weights to 'LMT', 'CAT', 'HON', 'UPS', 'DE', 'RTX', and 'FDX' because these companies have a larger market cap, indicating stability and potential for steady returns. 

You've also considered historical performance and future growth potential. For example, 'LMT' and 'CAT' are given higher weights due to their consistent performance and growth potential in their respective sectors.

Lastly, the allocation tries to maintain industry diversification. It ensures that the portfolio is not overly dependent on one specific industry within the industrials sector. This can help reduce industry-specific risk. 

Please note that this is a hypothetical model and actual allocations should be based on thorough research and risk tolerance of the investor.
